name,slug,category,subcategory,description,mrp,price,sku,stock,image_urls
"Minimalist Grey Ceramic Planter with Matte Finish 12 cm",minimalist-grey-ceramic-planter-matte-finish-12cm,Round Pots,Ceramic Pots,Grey matte ceramic planter 12cm,79900,79900,CER-RND-MIN-GREY-12CM,50,
"White Ribbed Ceramic Flower Pot with Saucer 18 cm",white-ribbed-ceramic-flower-pot-with-saucer-18cm,Round Pots,Ceramic Pots,White ribbed ceramic pot with saucer 18cm,149900,149900,CER-RND-WHT-RIB-SAUCER-18CM,40,
"Light Green Glossy Ceramic Indoor Planter 12 cm",light-green-glossy-ceramic-indoor-planter-12cm,Round Pots,Ceramic Pots,Light green glossy ceramic planter 12cm,54900,54900,CER-RND-LG-GLOSS-12CM,60,
"Curvy Cream Ceramic Planter Organic Shape Matte 9 cm",curvy-cream-ceramic-planter-organic-shape-matte-9cm,Round Pots,Ceramic Pots,Curvy cream matte ceramic planter 9cm,44900,44900,CER-RND-CURVY-CRM-9CM,60,
"Gold Rim White Ceramic Planter 16 cm",gold-rim-white-ceramic-planter-16cm,Round Pots,Ceramic Pots,White ceramic planter with gold rim 16cm,89900,89900,CER-RND-WHT-GOLD-RIM-16CM,40,
"Beige Ribbed Ceramic Planter Pot 14 cm",beige-ribbed-ceramic-planter-pot-14cm,Round Pots,Ceramic Pots,Beige ribbed ceramic planter 14cm,44900,44900,CER-RND-BEIGE-RIB-14CM,60,
"White Ribbed Ceramic Planter with Base 12 cm",white-ribbed-ceramic-planter-with-base-12cm,Round Pots,Ceramic Pots,White ribbed ceramic planter with base 12cm,59900,59900,CER-RND-WHT-RIB-BASE-12CM,60,
"White Faceted Ceramic Planter Geometric 14 cm",white-faceted-ceramic-planter-geometric-14cm,Round Pots,Ceramic Pots,White faceted geometric ceramic planter 14cm,44900,44900,CER-RND-WHT-FACET-14CM,60,
"Glossy Black Ribbed Ceramic Planter 10 cm",glossy-black-ribbed-ceramic-planter-10cm,Round Pots,Ceramic Pots,Glossy black ribbed ceramic planter 10cm,29900,29900,CER-RND-BLK-RIB-10CM,60,
"Mint Green Vertical Ribbed Ceramic Planter 14 cm",mint-green-vertical-ribbed-ceramic-planter-14cm,Round Pots,Ceramic Pots,Mint green vertical ribbed ceramic planter 14cm,44900,44900,CER-RND-MINT-RIB-14CM,60,
"Elegant Light Gray Ceramic Pot 12 cm",elegant-light-gray-ceramic-pot-12cm,Round Pots,Ceramic Pots,Light gray ceramic pot 12cm,54900,54900,CER-RND-LG-GRAY-12CM,50,
"Glossy Blue Textured Ceramic Planter 14 cm",glossy-blue-textured-ceramic-planter-14cm,Round Pots,Ceramic Pots,Glossy blue textured ceramic planter 14cm,44900,44900,CER-RND-BLUE-TEXT-14CM,60,
"Matte Black Ribbed Ceramic Planter Set Of 3 (20/16/13 cm)",matte-black-ribbed-ceramic-planter-set-3-20-16-13cm,Creative Planter Designs,Ceramic Pots,Set of 3 matte black ribbed planters 20/16/13cm,249900,249900,CER-SET-RIB-MATTE-BLK-3PC,25,
"Green Ribbed Indoor Plant Pot Set Of 3 (20/15/11 cm)",green-ribbed-indoor-plant-pot-set-3-20-15-11cm,Creative Planter Designs,Ceramic Pots,Set of 3 green ribbed plant pots 20/15/11cm,349900,349900,CER-SET-RIB-GREEN-3PC,25,
"Elegant Round Ceramic Planter 15 cm",elegant-round-ceramic-planter-15cm,Round Pots,Ceramic Pots,Elegant round ceramic planter 15cm,109900,109900,CER-RND-ELEGANT-15CM,50,
"White Round Ceramic Planter 12 cm",white-round-ceramic-planter-12cm,Round Pots,Ceramic Pots,White round ceramic planter 12cm,59900,59900,CER-RND-WHT-ROUND-12CM,60,
"Contemporary Gray Oval Hanging Ceramic Planter 12 cm",contemporary-gray-oval-hanging-ceramic-planter-12cm,Creative Planter Designs,Ceramic Pots,Contemporary gray oval hanging planter 12cm,49900,49900,CER-CRTV-GRAY-OVAL-HANG-12CM,40,
"Pumpkin-Shaped Pastel Indoor Flower Pots 9 cm",pumpkin-shaped-pastel-indoor-flower-pots-9cm,Creative Planter Designs,Ceramic Pots,Pumpkin-shaped pastel indoor flower pot 9cm,29900,29900,CER-CRTV-PASTEL-PUMPKIN-9CM,60,
"Black Ceramic Face Planter with Gold Details 12 cm",black-ceramic-face-planter-gold-details-12cm,Creative Planter Designs,Ceramic Pots,Black face planter with gold details 12cm,29900,29900,CER-CRTV-BLK-FACE-GOLD-12CM,50,
"Multicolor Ceramic Pots with Wooden Tag 11 cm",multicolor-ceramic-pots-with-wooden-tag-11cm,Creative Planter Designs,Ceramic Pots,Multicolor ceramic pot with wooden tag 11cm,29900,29900,CER-CRTV-MULTI-WOOD-TAG-11CM,60,
"White Geometric Ceramic Planter 14 cm",white-geometric-ceramic-planter-14cm,Creative Planter Designs,Ceramic Pots,White geometric ceramic planter 14cm,49900,49900,CER-CRTV-WHT-GEOM-14CM,50,
"Multicolor Ceramic Cactus Soft Pottery Succulent 11 cm",multicolor-ceramic-cactus-soft-pottery-succulent-11cm,Creative Planter Designs,Ceramic Pots,Multicolor cactus soft pottery succulent pot 11cm,19900,19900,CER-CRTV-SOFT-POTTERY-11CM,60,
"Chic Flared Ceramic Planter Multiple Colors 8.5 cm",chic-flared-ceramic-planter-multiple-colors-8-5cm,Creative Planter Designs,Ceramic Pots,Chic flared ceramic planter 8-5cm,24900,24900,CER-CRTV-FLARED-8P5CM,60,
"Pastel Leaf Charm Ceramic Flower Pots 11 cm",pastel-leaf-charm-ceramic-flower-pots-11cm,Creative Planter Designs,Ceramic Pots,Pastel leaf charm ceramic flower pot 11cm,19900,19900,CER-CRTV-LEAF-CHARM-11CM,60,
"Small Indoor Plant Pots Pastel Shades 11 cm",small-indoor-plant-pots-pastel-shades-11cm,Creative Planter Designs,Ceramic Pots,Pastel small indoor plant pot 11cm,29900,29900,CER-CRTV-PASTEL-SMALL-11CM,60,
"Textured Pastel Succulent Pots Modern Design 11 cm",textured-pastel-succulent-pots-modern-design-11cm,Creative Planter Designs,Ceramic Pots,Textured pastel succulent pot 11cm,29900,29900,CER-CRTV-PASTEL-TEXT-11CM,60,
"High-Gloss Ceramic Pot with Ribbon Accent 14 cm",high-gloss-ceramic-pot-ribbon-accent-14cm,Creative Planter Designs,Ceramic Pots,High-gloss ceramic pot ribbon accent 14cm,29900,29900,CER-CRTV-RIBBON-ACCENT-14CM,50,
"Wave Design Square Ceramic Pot 12 cm",wave-design-square-ceramic-pot-12cm,Rectangular Planters,Ceramic Pots,Wave design square ceramic pot 12cm,59900,59900,CER-RECT-WAVE-SQUARE-12CM,40,
"Vibrant Textured Mini Ceramic Planters 9 cm",vibrant-textured-mini-ceramic-planters-9cm,Creative Planter Designs,Ceramic Pots,Vibrant textured mini ceramic planters 9cm,199900,199900,CER-CRTV-TEXT-MINI-9CM,50,
"Vintage Ceramic Planters Rustic Bow 10 cm",vintage-ceramic-planters-rustic-bow-10cm,Creative Planter Designs,Ceramic Pots,Vintage ceramic planter rustic bow 10cm,229900,229900,CER-CRTV-VINTAGE-BOW-10CM,40,
"Glossy Decorative Home Flower Vase 9 cm",glossy-decorative-home-flower-vase-9cm,Creative Planter Designs,Ceramic Pots,Glossy decorative home flower vase 9cm,19900,19900,CER-CRTV-GLOSSY-VASE-9CM,60,
"Modern White Ceramic Planter with Handles 11 cm",modern-white-ceramic-planter-with-handles-11cm,Creative Planter Designs,Ceramic Pots,Modern white ceramic planter with handles 11cm,39900,39900,CER-CRTV-WHITE-HANDLES-11CM,50,
"Tall White Bonsai Planter Decorative 13 cm",tall-white-bonsai-planter-decorative-13cm,Creative Planter Designs,Ceramic Pots,Tall white bonsai decorative planter 13cm,39900,39900,CER-CRTV-BONSAI-WHITE-13CM,40,
"Beige Face Embossed Ceramic Planter 14 cm",beige-face-embossed-ceramic-planter-14cm,Creative Planter Designs,Ceramic Pots,Beige face embossed ceramic planter 14cm,39900,39900,CER-CRTV-FACE-EMBOSS-14CM,50,
"Ribbed Elegance Ceramic Planter 12-5 cm",ribbed-elegance-ceramic-planter-12-5cm,Creative Planter Designs,Ceramic Pots,Ribbed elegance ceramic planter 12-5cm,39900,39900,CER-CRTV-RIB-ELEG-12P5CM,50,
"Elegant Teal Blue & Beige Textured Ceramic Planter 16 cm",elegant-teal-blue-beige-textured-ceramic-planter-16cm,Round Pots,Ceramic Pots,Teal blue and beige textured ceramic planter 16cm,89900,89900,CER-RND-TEAL-BEIGE-16CM,40,
"Luxe Red Ceramic Planter with Gold Base 15 cm",luxe-red-ceramic-planter-gold-base-15cm,Round Pots,Ceramic Pots,Red ceramic planter gold base 15cm,89900,89900,CER-RND-RED-GOLD-BASE-15CM,40,
"Glamour Red and Gold Decorative Planter 18 cm",glamour-red-gold-decorative-planter-18cm,Round Pots,Ceramic Pots,Glamour red and gold decorative planter 18cm,89900,89900,CER-RND-RED-GOLD-18CM,40,
"Peach & Cream Ceramic Planter with Gold Base 14 cm",peach-cream-ceramic-planter-gold-base-14cm,Round Pots,Ceramic Pots,Peach and cream planter gold base 14cm,59900,59900,CER-RND-PEACH-CREAM-14CM,50,
"Face Shape Ceramic Flower Pot Artistic White 12 cm",face-shape-ceramic-flower-pot-artistic-white-12cm,Creative Planter Designs,Ceramic Pots,Artistic white face shape ceramic pot 12cm,39900,39900,CER-CRTV-FACE-WHITE-12CM,50,
"Vertical Ridge Pastel Ceramic Flower Pots 13 cm",vertical-ridge-pastel-ceramic-flower-pots-13cm,Creative Planter Designs,Ceramic Pots,Vertical ridge pastel ceramic flower pot 13cm,199900,199900,CER-CRTV-PASTEL-RIDGE-13CM,40,
"Diamond Glow Pastel Ceramic Planters with Saucers 11 cm",diamond-glow-pastel-ceramic-planters-with-saucers-11cm,Creative Planter Designs,Ceramic Pots,Diamond glow pastel planters with saucers 11cm,19900,19900,CER-CRTV-DIAMOND-GLOW-11CM,60,
"Angle Edge Ceramic Indoor Planters Pastel 11 cm",angle-edge-ceramic-indoor-planters-pastel-11cm,Creative Planter Designs,Ceramic Pots,Angle edge ceramic indoor planters pastel 11cm,19900,19900,CER-CRTV-ANGLE-EDGE-11CM,60,
"Hexa Glow Pastel Geometric Hexagonal Vases 15 cm",hexa-glow-pastel-geometric-hexagonal-vases-15cm,Creative Planter Designs,Ceramic Pots,Hexa glow pastel geometric hexagonal vase 15cm,89900,89900,CER-CRTV-HEXA-GLOW-15CM,40,
"Stylish Indoor Ceramic Plant Pot Single Decorative 12 cm",stylish-indoor-ceramic-plant-pot-single-decorative-12cm,Creative Planter Designs,Ceramic Pots,Stylish indoor ceramic decorative plant pot 12cm,29900,29900,CER-CRTV-STYLISH-INDOOR-12CM,60,
"Pastel Modern Ceramic Planters with Legs 9 cm",pastel-modern-ceramic-planters-with-legs-9cm,Creative Planter Designs,Ceramic Pots,Pastel modern ceramic planters with legs 9cm,19900,19900,CER-CRTV-LEGS-PASTEL-9CM,60,
"Pastel Modern Ceramic Planters with Legs Small 9 cm",pastel-modern-ceramic-planters-with-legs-small-9cm,Creative Planter Designs,Ceramic Pots,Pastel modern small ceramic planters with legs 9cm,19900,19900,CER-CRTV-LEGS-PASTEL-SM-9CM,60,
"Elegant Spectrum Multi-Color Ceramic Tabletop Planters 11 cm",elegant-spectrum-multi-color-ceramic-tabletop-planters-11cm,Creative Planter Designs,Ceramic Pots,Multi-color ceramic tabletop planters 11cm,39900,39900,CER-CRTV-SPECTRUM-11CM,50,
"Pastel Ornamental Embossed Ceramic Planter Set 12 cm",pastel-ornamental-embossed-ceramic-planter-set-12cm,Creative Planter Designs,Ceramic Pots,Pastel ornamental embossed ceramic planters 12cm,19900,19900,CER-CRTV-ORN-EMBOSS-12CM,60,
"Glossy Ribbed Square Ceramic Planter Rounded Edges 15 cm",glossy-ribbed-square-ceramic-planter-rounded-edges-15cm,Rectangular Planters,Ceramic Pots,Glossy ribbed square ceramic planter rounded edges 15cm,39900,39900,CER-RECT-RIB-SQUARE-ROUNDED-15CM,40,
"Stylish Indoor Ceramic Plant Pot Single Decorative 12 cm",stylish-indoor-ceramic-plant-pot-single-decorative-12cm-2,Creative Planter Designs,Ceramic Pots,Stylish indoor decorative plant pot single 12cm,29900,29900,CER-CRTV-STYLISH-INDOOR-12CM-2,60,
"Blush Pink Textured Ceramic Planter 16 cm",blush-pink-textured-ceramic-planter-16cm,Round Pots,Ceramic Pots,Blush pink textured ceramic planter 16cm,69900,69900,CER-RND-BLUSH-PINK-16CM,40,
"Blush Pink Ribbed Ceramic Planter 8.5 cm",blush-pink-ribbed-ceramic-planter-8-5cm,Round Pots,Ceramic Pots,Blush pink ribbed ceramic planter 8-5cm,59900,59900,CER-RND-BLUSH-RIB-8P5CM,60,
"Minimalist Pastel Ceramic Planter Single Pot 10 cm",minimalist-pastel-ceramic-planter-single-pot-10cm,Creative Planter Designs,Ceramic Pots,Minimalist pastel ceramic single pot 10cm,21900,21900,CER-CRTV-PASTEL-SINGLE-10CM,60,
"Classic Jar Ceramic Pot Glazed Indoor Outdoor 13 cm",classic-jar-ceramic-pot-glazed-indoor-outdoor-13cm,Creative Planter Designs,Ceramic Pots,Classic jar glazed ceramic pot 13cm,39900,39900,CER-CRTV-CLASSIC-JAR-13CM,50,
"Embossed Pastel Ceramic Planter with Gold Base 12 cm",embossed-pastel-ceramic-planter-gold-base-12cm,Creative Planter Designs,Ceramic Pots,Embossed pastel ceramic planter gold base 12cm,39900,39900,CER-CRTV-PASTEL-GOLD-BASE-12CM,50,
