name,slug,category,subcategory,description,mrp,price,sku,stock,image_urls
"Classic Cream Artisan Planters Set of 3 (43/34/26 cm)",classic-cream-artisan-planters-set-3-43-34-26cm,Large Format Designer Ceramic Planters,Ceramic Pots,Classic cream artisan ceramic planters set of 3 sizes,1619900,1619900,CER-LG-CLASSIC-CREAM-SET3,25,
"Natural Cream Planter Set Of 4 Chic Ceramic Design (38/31/25/19 cm)",natural-cream-planter-set-4-chic-ceramic-38-31-25-19cm,Large Format Designer Ceramic Planters,Ceramic Pots,Natural cream ceramic planters set of 4 sizes,709900,709900,CER-LG-NAT-CRM-SET4,25,
"Green Ceramic Planters Set of 5 (50/42/34/28/18 cm)",green-ceramic-planters-set-5-50-42-34-28-18cm,Large Format Designer Ceramic Planters,Ceramic Pots,Green ceramic planters set of 5 sizes,3169900,3169900,CER-LG-GREEN-SET5,20,
"Celestial Blue Artistic Ceramic Planters Set Of 5 (70/60/50/37/26 cm)",celestial-blue-artistic-ceramic-planters-set-5-70-60-50-37-26cm,Large Format Designer Ceramic Planters,Ceramic Pots,Celestial blue artistic ceramic planters set of 5,3039900,3039900,CER-LG-CELESTIAL-BLUE-SET5,20,
"Leaf Impressions Ceramic Planters Set of 5 (70/60/50/37/26 cm)",leaf-impressions-ceramic-planters-set-5-70-60-50-37-26cm,Large Format Designer Ceramic Planters,Ceramic Pots,Leaf impressions ceramic planters set of 5 sizes,3229900,3229900,CER-LG-LEAF-IMP-SET5,20,
"Luxurious Deep Red Glossy Finish Set Of 3 (55/45/35 cm)",luxurious-deep-red-glossy-finish-set-3-55-45-35cm,Large Format Designer Ceramic Planters,Ceramic Pots,Deep red glossy ceramic planters set of 3 sizes,2159900,2159900,CER-LG-DEEP-RED-SET3,25,
"Large Green Glazed Ceramic Planter Set Of 2 (100/77 cm)",large-green-glazed-ceramic-planter-set-2-100-77cm,Large Format Designer Ceramic Planters,Ceramic Pots,Large green glazed ceramic planters set of 2,4960000,4960000,CER-LG-GREEN-GLAZED-SET2,30,
"Classic White Ceramic Plant Pot Set Of 3 Versatile Sizes (43/36/28 cm)",classic-white-ceramic-plant-pot-set-3-43-36-28cm,Large Format Designer Ceramic Planters,Ceramic Pots,Classic white ceramic plant pots set of 3,2679900,2679900,CER-LG-WHITE-SET3,25,
"Large Glazed Brown Ceramic Planter Set Of 3 (43/36/28 cm)",large-glazed-brown-ceramic-planter-set-3-43-36-28cm,Large Format Designer Ceramic Planters,Ceramic Pots,Large glazed brown ceramic planters set of 3,2889900,2889900,CER-LG-BROWN-GLAZED-SET3,25,
"Elegant Green Ceramic Pots Set of 3 (73/56/43 cm)",elegant-green-ceramic-pots-set-3-73-56-43cm,Large Format Designer Ceramic Planters,Ceramic Pots,Elegant green ceramic pots set of 3 sizes,14880000,14880000,CER-LG-ELEG-GREEN-SET3,15,
"Green Round Rimmed Ceramic Planter Set Of 3 (43/36/28 cm)",green-round-rimmed-ceramic-planter-set-3-43-36-28cm,Large Format Designer Ceramic Planters,Ceramic Pots,Green round rimmed ceramic planters set of 3,3229900,3229900,CER-LG-GREEN-RIM-SET3,25,
"Yellow Ceramic Planter Set Of 3 with Volcanic Rim (55/45/35 cm)",yellow-ceramic-planter-set-3-volcanic-rim-55-45-35cm,Large Format Designer Ceramic Planters,Ceramic Pots,Yellow ceramic planters with volcanic rim set of 3,2789900,2789900,CER-LG-YELLOW-VOLC-SET3,25,
"Sleek White Ceramic Planters Set of 3 for Modern Gardens (57/46/30 cm)",sleek-white-ceramic-planters-set-3-57-46-30cm,Large Format Designer Ceramic Planters,Ceramic Pots,Sleek white ceramic planters set of 3 sizes,2279900,2279900,CER-LG-SLEEK-WHITE-SET3,25,
"Large Fluted Ceramic Pots Big Stone Finish Set of 2 (66/56 cm)",large-fluted-ceramic-pots-big-stone-finish-set-2-66-56cm,Large Format Designer Ceramic Planters,Ceramic Pots,Large fluted stone finish ceramic pots set of 2,2749900,2749900,CER-LG-FLUTED-STONE-SET2,30,
"White Square Volcanic Textured Ceramic Pot Set Of 3 (60/48/26 cm)",white-square-volcanic-textured-ceramic-pot-set-3-60-48-26cm,Large Format Designer Ceramic Planters,Ceramic Pots,White square volcanic textured ceramic pots set of 3,4449900,4449900,CER-LG-WHITE-VOLC-SQ-SET3,25,
"Ancient Orange Rustic Ceramic Planter Set of 4 (48/41/32/26 cm)",ancient-orange-rustic-ceramic-planter-set-4-48-41-32-26cm,Large Format Designer Ceramic Planters,Ceramic Pots,Ancient orange rustic ceramic planters set of 4,3499900,3499900,CER-LG-ORANGE-RUSTIC-SET4,25,
"Large Ceramic Pots Sunset Hue Rustic Set of 3 (52/37/21 cm)",large-ceramic-pots-sunset-hue-rustic-set-3-52-37-21cm,Large Format Designer Ceramic Planters,Ceramic Pots,Sunset hue rustic ceramic pots set of 3 sizes,2779900,2779900,CER-LG-SUNSET-RUSTIC-SET3,25,
"White Gravel Matte Finish Tall Ceramic Planters Set of 2 (36/28 cm)",white-gravel-matte-finish-tall-ceramic-planters-set-2-36-28cm,Large Format Designer Ceramic Planters,Ceramic Pots,White gravel matte finish ceramic planters set of 2,2559900,2559900,CER-LG-WHITE-GRAVEL-SET2,30,
Fiora Fiber Planter,fiora-fiber-planter,Fiber Pots & Planters,Tall Planters,Premium Fiora tall fiber planter,229900,229900,FIB-TALL-FIORA,60,
Marble Fiber Planter,marble-fiber-planter,Fiber Pots & Planters,Tall Planters,Marble finish tall fiber planter,844900,844900,FIB-TALL-MARBLE,60,
Goliath Brown Fiber Planter,goliath-brown-fiber-planter,Fiber Pots & Planters,Tall Planters,Goliath brown tall fiber planter,1639900,1639900,FIB-TALL-GOLIATH-BRN,50,
Orlando White Fiber Planter,orlando-white-fiber-planter,Fiber Pots & Planters,Tall Planters,Orlando white tall fiber planter,4449900,4449900,FIB-TALL-ORLANDO-WHT,25,
Stone Wave Stiff Fiber Planter,stone-wave-stiff-fiber-planter,Fiber Pots & Planters,Tall Planters,Stone wave stiff tall fiber planter,1719900,1719900,FIB-TALL-STONE-WAVE,50,
Imperial White Fiber Planter,imperial-white-fiber-planter,Fiber Pots & Planters,Tall Planters,Imperial white tall fiber planter,1899900,1899900,FIB-TALL-IMPERIAL-WHT,50,
Granite Stone Fiber Planter,granite-stone-fiber-planter,Fiber Pots & Planters,Tall Planters,Granite stone tall fiber planter,1459900,1459900,FIB-TALL-GRANITE,50,
Short Rib Fiber Planter,short-rib-fiber-planter,Fiber Pots & Planters,Tall Planters,Short rib tall fiber planter,969900,969900,FIB-TALL-SHORT-RIB,60,
Lucido Golden Fiber Planter,lucido-golden-fiber-planter,Fiber Pots & Planters,Tall Planters,Lucido golden tall fiber planter,1639900,1639900,FIB-TALL-LUCIDO-GOLD,50,
Gravel Fiber Planter,gravel-fiber-planter,Fiber Pots & Planters,Tall Planters,Gravel texture tall fiber planter,939900,939900,FIB-TALL-GRAVEL,60,
Elegance Mosaic Black Fiber Planter,elegance-mosaic-black-fiber-planter,Fiber Pots & Planters,Tall Planters,Black mosaic tall fiber planter,444900,444900,FIB-TALL-MOSAIC-BLK,60,
