name,slug,category,subcategory,description,mrp,price,sku,stock,image_urls
6 Inch Multi Singapore Pot (160mm),6-inch-multi-singapore-pot-160mm,Plastic Pots,Round Pots,Multi-color Singapore pot 160mm size,12000,12000,PLP-6IN-SING-160,80,
2.5 Inch Turq Singapore Pot (67mm),2-5-inch-turq-singapore-pot-67mm,Plastic Pots,Round Pots,Turquoise Singapore pot 67mm size,8000,8000,PLP-2P5IN-TURQ-67,80,
4 Inch Orange Singapore Pot (105mm),4-inch-orange-singapore-pot-105mm,Plastic Pots,Round Pots,Orange Singapore pot 105mm size,10000,10000,PLP-4IN-ORNG-105,80,
8.5 Inch Turq Singapore Pot (67mm),8-5-inch-turq-singapore-pot-67mm,Plastic Pots,Round Pots,Turquoise Singapore pot 67mm size,15000,15000,PLP-8P5IN-TURQ-67,80,
14 cm White Paris Square Pot,14-cm-white-paris-square-pot,Plastic Pots,Square Pots,White Paris square pot 14cm,16900,16900,PLP-SQR-14CM-WHT-PARIS,60,
Bonzi Square Pot 17 cm (Brown),bonzi-square-pot-17cm-brown,Plastic Pots,Square Pots,Bonzi square pot 17cm brown,11900,11900,PLP-SQR-17CM-BONZI-BRN,60,
Bonzi Square Pot 17 cm,bonzi-square-pot-17cm,Plastic Pots,Square Pots,Bonzi square pot 17cm,11900,11900,PLP-SQR-17CM-BONZI-STD,60,
17 cm Green Paris Square Pot,17-cm-green-paris-square-pot,Plastic Pots,Square Pots,Green Paris square pot 17cm,16900,16900,PLP-SQR-17CM-GRN-PARIS,60,
Vertical Flower Tower Pots 17 cm (Pack of 3, 6.5 Inch),vertical-flower-tower-pots-17cm-pack-3,Plastic Pots,Stacking Pots,Stacking flower tower set pack of 3 (6.5 inch),89900,89900,PLP-STK-VERT-17CM-PK3,40,
Stacking Pots Terracotta 17 cm (Pack of 4, 6.5 Inch),stacking-pots-terracotta-17cm-pack-4,Plastic Pots,Stacking Pots,Terracotta stacking pots set pack of 4 (6.5 inch),109900,109900,PLP-STK-TERRA-17CM-PK4,40,
Stacking Pots Orange 17 cm (Pack of 6, 6.5 Inch),stacking-pots-orange-17cm-pack-6,Plastic Pots,Stacking Pots,Orange stacking pots set pack of 6 (6.5 inch),159900,159900,PLP-STK-ORNG-17CM-PK6,40,
Stacking Pots Green 17 cm (Pack of 6, 6.5 Inch),stacking-pots-green-17cm-pack-6,Plastic Pots,Stacking Pots,Green stacking pots set pack of 6 (6.5 inch),159900,159900,PLP-STK-GRN-17CM-PK6,40,
Hanging Pot 17.5 cm,hanging-pot-17-5cm,Plastic Pots,Hanging Pots,Standard hanging pot 17.5cm,9900,9900,PLP-HNG-17P5CM-STD,80,
Turq Hanging Planter 16 cm,turq-hanging-planter-16cm,Plastic Pots,Hanging Pots,Turquoise hanging planter 16cm,12000,12000,PLP-HNG-TURQ-16CM,80,
Hanging Planter 21 cm,hanging-planter-21cm,Plastic Pots,Hanging Pots,Standard hanging planter 21cm,17000,17000,PLP-HNG-21CM-STD,80,
Green Hanging Planter 18 cm,green-hanging-planter-18cm,Plastic Pots,Hanging Pots,Green hanging planter 18cm,15000,15000,PLP-HNG-GRN-18CM,80,
Blue Ribbed Rectangular Ceramic Planter Set of 2,blue-ribbed-rectangular-ceramic-planter-set-2,Rectangular Planters, Ceramic Pots,Set of 2 blue ribbed rectangular ceramic planters,289900,289900,CER-RECT-RIBBED-SET2,20,
Parrot Green Ceramic Pot 8 cm,parrot-green-ceramic-pot-8cm,Round Pots,Ceramic Pots,Parrot green ceramic round pot 8cm,19900,19900,CER-RND-PARROT-GRN-8CM,60,
Harmony Fan Planter Set of 2 (14 & 18 cm),harmony-fan-planter-set-2-14-18cm,Creative Planter Designs,Ceramic Pots,Set of 2 Harmony fan planters 14cm & 18cm,199900,199900,CER-SET-HARMONY-FAN-2PC,25,
