name,slug,category,subcategory,description,mrp,price,sku,stock,image_urls
AGLAONEMA,aglaonema,Indoor Plants,,Indoor plant,79900,59900,INP-200,25,
ALOCASIA,alocasia,Indoor Plants,,Indoor plant,79900,59900,INP-201,25,
ANTHURIUM,anthurium,Indoor Plants,,Indoor plant,79900,59900,INP-202,25,
BAMBOO STICKS,bamboo-sticks,Indoor Plants,,Indoor plant,79900,59900,INP-203,25,
BIRD OF PARADISE,bird-of-paradise,Indoor Plants,,Indoor plant,79900,59900,INP-204,25,
BOSTON FERN,boston-fern,Indoor Plants,,Indoor plant,79900,59900,INP-205,25,
BRAZILIAN WOOD,brazilian-wood,Indoor Plants,,Indoor plant,79900,59900,INP-206,25,
BROKEN HEART,broken-heart,Indoor Plants,,Indoor plant,79900,59900,INP-207,25,
CALADIUM,caladium,Indoor Plants,,Indoor plant,79900,59900,INP-208,25,
CALATHEA,calathea,Indoor Plants,,Indoor plant,79900,59900,INP-209,25,
CALETHIA PEACOCK,calethia-peacock,Indoor Plants,,Indoor plant,79900,59900,INP-210,25,
CROTON,croton,Indoor Plants,,Indoor plant,79900,59900,INP-211,25,
CURLY ZZ PLANT,curly-zz-plant,Indoor Plants,,Indoor plant,79900,59900,INP-212,25,
DIEFFENBACHIA,dieffenbachia,Indoor Plants,,Indoor plant,79900,59900,INP-213,25,
DRACAENA,dracaena,Indoor Plants,,Indoor plant,79900,59900,INP-214,25,
ENGLISH IVY,english-ivy,Indoor Plants,,Indoor plant,79900,59900,INP-215,25,
FICUS LYARATA,ficus-lyarata,Indoor Plants,,Indoor plant,79900,59900,INP-216,25,
FICUS STARLIGHT,ficus-starlight,Indoor Plants,,Indoor plant,79900,59900,INP-217,25,
FIDDLE LEAF FIG,fiddle-leaf-fig,Indoor Plants,,Indoor plant,79900,59900,INP-218,25,
FITTONIA,fittonia,Indoor Plants,,Indoor plant,79900,59900,INP-219,25,
GOLDEN POTHOS,golden-pothos,Indoor Plants,,Indoor plant,79900,59900,INP-220,25,
HOYA,hoya,Indoor Plants,,Indoor plant,79900,59900,INP-221,25,
JADE PLANT,jade-plant,Indoor Plants,,Indoor plant,79900,59900,INP-222,25,
KENTIA PALM,kentia-palm,Indoor Plants,,Indoor plant,79900,59900,INP-223,25,
LIPSTIC PLANT,lipstic-plant,Indoor Plants,,Indoor plant,79900,59900,INP-224,25,
LUCKY BAMBOO,lucky-bamboo,Indoor Plants,,Indoor plant,79900,59900,INP-225,25,
MAIDENHAIR FERN,maidenhair-fern,Indoor Plants,,Indoor plant,79900,59900,INP-226,25,
MONEY PLANT,money-plant,Indoor Plants,,Indoor plant,79900,59900,INP-227,25,
MONSTERA DELICIOSA,monstera-deliciosa,Indoor Plants,,Indoor plant,79900,59900,INP-228,25,
MOTH ORCHID,moth-orchid,Indoor Plants,,Indoor plant,79900,59900,INP-229,25,
PARLOR PALM,parlor-palm,Indoor Plants,,Indoor plant,79900,59900,INP-230,25,
PEACE LILY,peace-lily,Indoor Plants,,Indoor plant,79900,59900,INP-231,25,
PEPEROMIA,peperomia,Indoor Plants,,Indoor plant,79900,59900,INP-232,25,
PEPEROMIA RAINDROP,peperomia-raindrop,Indoor Plants,,Indoor plant,79900,59900,INP-233,25,
PRAYER PLANT,prayer-plant,Indoor Plants,,Indoor plant,79900,59900,INP-234,25,
RED MACHIRA,red-machira,Indoor Plants,,Indoor plant,79900,59900,INP-235,25,
REX BEGONIA,rex-begonia,Indoor Plants,,Indoor plant,79900,59900,INP-236,25,
RUBBER PLANT,rubber-plant,Indoor Plants,,Indoor plant,79900,59900,INP-237,25,
SCHEFFLERA,schefflera,Indoor Plants,,Indoor plant,79900,59900,INP-238,25,
SELAGINELLA,selaginella,Indoor Plants,,Indoor plant,79900,59900,INP-239,25,
SILVER RIBBON PLANT,silver-ribbon-plant,Indoor Plants,,Indoor plant,79900,59900,INP-240,25,
SNAKE PLANT,snake-plant,Indoor Plants,,Indoor plant,79900,59900,INP-241,25,
SPIDER PLANT,spider-plant,Indoor Plants,,Indoor plant,79900,59900,INP-242,25,
STRING OF PEARLS,string-of-pearls,Indoor Plants,,Indoor plant,79900,59900,INP-243,25,
SWEDISH IVY,swedish-ivy,Indoor Plants,,Indoor plant,79900,59900,INP-244,25,
SYNGONIUM,syngonium,Indoor Plants,,Indoor plant,79900,59900,INP-245,25,
VELVET PLANT,velvet-plant,Indoor Plants,,Indoor plant,79900,59900,INP-246,25,
WEEPING FIG,weeping-fig,Indoor Plants,,Indoor plant,79900,59900,INP-247,25,
ZZ PLANT,zz-plant,Indoor Plants,,Indoor plant,79900,59900,INP-248,25,

